"replicate","b1_mle","b2_mle","mu_mle","n_tries"
154,0.988625215832335,3.60656820324913,1.02036252344679,7
155,1.02449595300114,3.65041791497499,0.999009356291223,3
156,0.978726186969069,3.57098786233183,1.03866783890027,1
157,0.982355609891388,3.70247880115774,1.00662582244519,8
158,1.01076506174338,3.85752427170347,1.0064598309063,2
159,0.997735367081015,3.80139909285202,1.00898617386068,6
160,1.00697592985522,3.63633127456035,0.992001153760572,2
161,1.0226627009881,3.71664733305342,1.01715146204834,6
162,1.03425816682136,3.60210646203733,0.990451823593076,9
163,0.977974942581234,3.73129507908257,0.995757126971088,3
164,0.977604947802166,3.7682945000961,1.00853937043479,6
165,1.01412152841747,3.731456293721,0.996249010505694,1
166,1.01617113829398,3.743484510557,0.98954517854676,5
167,1.02799446540984,3.60975668359093,0.997073071166977,7
168,1.0231916254817,3.65932667295968,1.00412439189236,1
169,1.01703939378396,3.70940896401142,0.98964482797514,22
170,1.02680366559043,3.69212360080424,0.986935897459104,9
171,0.983635345286391,3.55179629515614,1.02666430512232,2
172,0.990089920451392,3.71444500823384,0.968497860275347,5
173,0.995287597662932,3.67030336821761,0.986134002162102,3
174,1.04750208552003,3.70890335597299,1.00378692972194,1
175,1.02458291649904,3.71360002368922,1.00406201896752,3
176,1.01261984143376,3.70235754042535,1.00991310931636,6
177,0.9997373557559,3.72493006827491,1.03627764239617,2
178,0.992010572646177,3.7653022828572,1.01141541041371,2
179,1.02285395581005,3.75720106212787,1.01501973077343,1
180,1.01038618676179,3.69360312003239,0.987194126664968,7
181,1.02577596655369,3.62161972231335,0.991013237343421,6
182,0.998152597701312,3.75494595899715,0.998367922741513,1
183,1.00339100422144,3.64984348136671,1.01173600045344,5
184,1.02657397459727,3.76783488815044,0.991373288611328,9
185,0.987669294211122,3.77035957481792,0.995061958235461,7
186,0.994944842834147,3.71841468683792,1.02353759658969,2
187,1.00974987282469,3.7127786404569,0.980705528796506,11
188,1.02745381432425,3.67709412077786,1.00323281340952,1
189,0.993527322459939,3.84770606907817,1.03028756142249,5
190,1.01888017942713,3.59421099417542,0.999704451150437,8
191,1.00712926016526,3.68822742855129,1.00325548341824,7
192,1.00380601994001,3.71177055105934,0.986050169385663,11
193,0.98674093782556,3.72135665623662,0.993108279609209,11
194,1.0381713798942,3.68065167642649,0.99721960023694,1
195,1.00428396514703,3.66796541225863,1.01197131332426,7
196,0.986919967431804,3.66465030458501,1.01485051923852,1
197,1.02731578244813,3.61604676531971,0.98982239719457,5
198,1.01638559546539,3.73859839927382,1.02916923184526,2
199,1.02500935194761,3.65155229193662,0.986463339840649,4
200,1.01083012518149,3.71246564223742,1.01264867272263,4
