"replicate","b1_unc","b2_unc","mu_unc","n_tries"
170,1.00450432989738,3.7134879342964,0.992773976161797,247
171,1.01064350837977,3.7040647493399,0.993403989934275,124
172,1.01170495086376,3.66938924944195,0.997190194823615,382
173,1.01208322790134,3.71887345180734,0.990770487868061,515
174,1.01105547282304,3.70578456435931,1.00450219852549,328
175,1.01917307760589,3.7581265609082,0.998510969745983,16
176,1.01733103636064,3.69962777693136,0.992640341242867,419
177,1.01342232314529,3.72648579640664,0.994120497984994,455
178,1.01284925351228,3.72037896790407,0.994042187598586,511
179,1.02116250005588,3.68220977811568,0.99786143989921,18
180,1.00862940740708,3.70289700363972,0.995277898624048,245
181,1.01006924307203,3.70861437746408,0.993566447592641,1316
182,1.02291097499247,3.70781824996562,0.993287478290504,2311
183,0.996768919707019,3.69829649793051,0.986539051446429,288
184,1.0264764103261,3.66830310223679,0.991359261609046,595
185,1.02350335706295,3.71993392387737,1.00239275604729,187
186,1.01246424505013,3.67373874111254,0.997969960604205,62
187,1.02649671975897,3.72154415318729,0.996688325331956,261
188,1.01985276742699,3.675955197947,0.997653613037987,75
189,1.02287860932314,3.74471545618065,0.989334193841279,670
190,1.00794022950884,3.71239739738158,0.997901232773134,132
191,1.01889007975082,3.73388552785726,0.991714446164478,1015
192,1.0162489881214,3.70881143327237,1.00020200754144,1041
193,1.0116767907339,3.72962265802243,0.996772802388228,539
194,1.01791736459746,3.73649422835202,0.989686534119893,447
195,1.01875684745031,3.72806695884842,0.996362990342237,511
196,1.01654814204571,3.67413024442803,0.996474584082122,413
197,1.01322157489388,3.70862436991254,0.989138454949311,136
198,1.00879734908788,3.67540911696337,1.00051190770856,256
199,1.01097337888124,3.75737209633556,1.00223584049409,914
200,1.01463173707435,3.73893795229659,1.00313503989432,1124
